2
0 360 17
0 180 73

	4.54749	4.55866	4.54749	4.52514
	4.49721	4.44134	4.38547	4.31844
	4.24022	4.15084	4.05587	3.96089
	3.84358	3.7095	3.58101	3.44693
	3.30168	3.16201	3.00559	2.84358
	2.69274	2.51955	2.34078	2.1676
	1.98883	1.79888	1.63128	1.44134
	1.2514	1.07821	0.893855	0.715084
	0.564246	0.396648	0.240223	0.111732
	0.00558659	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	4.54749	4.54749	4.53631
	4.50838	4.47486	4.43017	4.3743
	4.31285	4.23464	4.14525	4.05587
	3.94413	3.82123	3.71508	3.57542
	3.43017	3.2905	3.13966	2.98324
	2.84358	2.67039	2.49721	2.3352
	2.15084	1.96648	1.7933	1.60894
	1.43575	1.24581	1.06145	0.893855
	0.715084	0.541899	0.396648	0.240223
	0.100559	0.00558659	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	4.54749	4.54749
	4.53073	4.50838	4.47486	4.43017
	4.37989	4.30168	4.22905	4.14525
	4.04469	3.93855	3.82682	3.69832
	3.58101	3.43017	3.30168	3.14525
	2.98883	2.84358	2.6648	2.49721
	2.3352	2.15084	1.96648	1.79888
	1.60894	1.42458	1.2514	1.06145
	0.882682	0.72067	0.553073	0.391061
	0.251397	0.106145	0.00558659	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	4.54749
	4.5419	4.53073	4.50838	4.46927
	4.43017	4.3743	4.30168	4.22346
	4.13966	4.03911	3.92737	3.82682
	3.70391	3.56983	3.43575	3.29609
	3.15642	3	2.8324	2.65922
	2.50838	2.32402	2.1676	1.98324
	1.79888	1.60894	1.44134	1.2514
	1.07821	0.888268	0.731844	0.558659
	0.396648	0.24581	0.111732	0.00558659
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	4.54749	4.53631	4.52514	4.49721
	4.48603	4.43017	4.37989	4.31285
	4.24022	4.15642	4.06145	3.94972
	3.83799	3.71508	3.58659	3.45251
	3.30726	3.15084	3.01676	2.84916
	2.68156	2.51955	2.34637	2.17318
	1.99441	1.80447	1.62011	1.45251
	1.26816	1.09497	0.910615	0.73743
	0.581006	0.413408	0.26257	0.128492
	0.0111732	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	4.54749	4.53631	4.53073
	4.49721	4.46927	4.41899	4.3743
	4.29609	4.23464	4.13966	4.05587
	3.94413	3.82123	3.72067	3.58659
	3.44693	3.31285	3.16201	3.01117
	2.86034	2.69274	2.51955	2.36313
	2.18436	1.99441	1.82682	1.64246
	1.45251	1.28492	1.10056	0.916201
	0.75419	0.581006	0.435754	0.27933
	0.134078	0.0167598	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	4.54749	4.5419
	4.52514	4.50838	4.47486	4.44134
	4.37989	4.31844	4.23464	4.15642
	4.05028	3.96648	3.84358	3.72067
	3.59218	3.4581	3.31285	3.18436
	3.02235	2.86034	2.70391	2.53631
	2.3743	2.2067	2.01676	1.84916
	1.6648	1.47486	1.30726	1.12291
	0.938547	0.776536	0.603352	0.441341
	0.296089	0.150838	0.0223464	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0.00558659	0
	0	0	0	0
	0	0	0	4.54749
	4.53631	4.53073	4.50838	4.48045
	4.43575	4.38547	4.32961	4.2514
	4.15642	4.0838	3.97207	3.85475
	3.73743	3.60894	3.49162	3.34637
	3.18436	3.05028	2.88268	2.71508
	2.56425	2.39106	2.22346	2.04469
	1.85475	1.68715	1.50279	1.31844
	1.14525	0.960894	0.782123	0.614525
	0.463687	0.307263	0.156425	0.0391061
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	0	0	0	0
	4.54749	4.54749	4.53073	4.51955
	4.48603	4.44693	4.39106	4.34078
	4.25698	4.16201	4.0838	3.98324
